Category,Type,Content,Notes
Curiosity & Intrigue,Bridge,"Porque aprendí a hacer que mi dinero trabaje para mí.",Bridge
Curiosity & Intrigue,Course Info,"Mi curso te enseña a crear sistemas de ingresos pasivos que funcionan sin tu presencia constante.",Course Info
Curiosity & Intrigue,CTA,"Trabaja menos, gana más. Únete al curso.",CTA
Main Hooks,Hook,"Si estás harto de trabajar para pagar una casa… imagina que tu casa te pague a ti.",More emotional version
Main Hooks,Hook,"Conseguí 7 pisos sin poner ni un euro. Literal. Te cuento cómo.",More intriguing, real confession style
Main Hooks,Hook,"No necesitas ahorrar 100.000€. Necesitas saber esto.",Cuts main objection and creates urgency
Main Hooks,Hook,"Mientras tú duermes… tus pisos pueden estar generando €3.000 al mes.",Combines lifestyle + curiosity + aspiration
Main Hooks,Hook,"Invertí €500… y me genera más que mi antiguo sueldo fijo.",More impact than saying €2,000 monthly
Main Hooks,Hook,"Este error tonto me costó €50.000 en mi primera inversión. No lo repitas.",Humanizes, high empathy, high CTR
Main Hooks,Hook,"¿Por qué los ricos compran inmuebles mientras tú guardas el dinero en el banco?",Direct confrontation with viewer, very powerful
Main Hooks,Hook,"¿Sabías que puedes comprarte un piso sin aval, sin ahorro y sin nómina alta?",Breaks beliefs frontally
Main Hooks,Hook,"Mi primer piso era un estudio de 40m². Hoy tengo 30 propiedades. No fue suerte.",Ideal for reels and credible transformation
Main Hooks,Hook,"Los bancos no te cuentan esto… pero con esta estrategia, puedes negociar como ellos.",Works great as lead-in for creative financing
Main Hooks,Hook,"¿Crees que necesitas 10 años para retirarte? Yo lo hice en 3… con inmuebles.",Very powerful for aspirational targeting + fast track
Main Hooks,Hook,"A los 35 me jubilé. No por lotería. Por estrategia.",Contundent, short, with double layer of curiosity
Main Hooks,Hook,"Tu pensión no va a darte la vida que esperas. Esta estrategia sí puede.",Connects with fear + offers direct solution
Main Hooks,Hook,"Mientras tú esperas el momento perfecto… otros están comprando oportunidades.",Ideal for breaking analysis paralysis
Main Hooks,Hook,"Te sorprendería saber cuántos pisos puedes comprar sin tener dinero.",Curious, informal, conversation style, totally Facebook-friendly
Belief Breaking,Hook,"¿Tienes un piso en alquiler y ya te crees inversor inmobiliario?",Having a property doesn't make you an investor, it makes you a landlord
Belief Breaking,Hook,"Si trabajas 10 horas al día y no tienes tiempo para aprender a invertir en inmuebles… ¿cuándo lo tendrás?",Either you make time now or in 10 years you're still the same
Belief Breaking,Hook,"El miedo a equivocarte en inmobiliario te va a salir más caro que una mala inversión.",Inaction is the most expensive
Belief Breaking,Hook,"¿De verdad crees que invertir en pisos es 100% pasivo desde el principio?",Only when you automate it, before that it's work
Belief Breaking,Hook,"¿Esperas a tener 100 mil euros para empezar a invertir? Vas tarde.",Most people start without their own capital
Authentic,Hook,"Yo también pensaba que el mercado inmobiliario era solo para ricos. Hasta que hice mi primera inversión con 5.000 €",Casual, close style
Authentic,Hook,"No soy gurú ni millonario. Solo vivo de mis propiedades. Y tú también podrías.",Casual, close style
Authentic,Hook,"Nadie me explicó cómo funcionaba realmente esto del alquiler. Perdí tiempo y dinero. Por eso lo cuento ahora.",Casual, close style
Authentic,Hook,"Los primeros 3 meses en inmobiliario son duros. Pero los siguientes 20 años... son para ti.",Casual, close style
Authentic,Hook,"Invertir en pisos no es magia. Es entender números, financiación y personas.",Casual, close style
Blockage Identification,Hook,"¿Tienes ahorros, pero no sabes en qué tipo de inmueble meterlos?",I understand you, that's how I started
Blockage Identification,Hook,"Si no sabes cómo se calcula la rentabilidad de un piso, aún no estás listo para invertir.",Educational hook
Blockage Identification,Hook,"No necesitas más dinero. Necesitas saber cómo se mueve el dinero en el sector inmobiliario.",Educational hook
Blockage Identification,Hook,"¿No te dan hipoteca? No es por ti. Es porque no presentaste bien la operación.",Educational hook
Blockage Identification,Hook,"Puedes hacer inversiones inmobiliarias mientras mantienes tu trabajo... si sabes cómo.",Educational hook
Urgency & Opportunity,Hook,"Vas tarde, pero no estás fuera del juego. En 2025 se abrirán muchas oportunidades inmobiliarias.",Awakening urgency
Urgency & Opportunity,Hook,"Hay zonas donde el alquiler ha subido un 40%. ¿Quién se está quedando esas rentas?",Awakening urgency
Urgency & Opportunity,Hook,"Tu dinero pierde valor cada día. Un piso bien comprado no.",Awakening urgency
Urgency & Opportunity,Hook,"La oportunidad no se ve en Idealista. Se diseña antes de entrar.",Awakening urgency
Urgency & Opportunity,Hook,"No hace falta esperar el 'momento perfecto'. Hace falta moverse con criterio.",Awakening urgency
Positioning,Hook,"Cometí todos los errores en mi primer piso. Por eso ahora sé qué no repetir.","I lived it" positioning
Positioning,Hook,"No vendo cursos. Cuento cómo invertir sin hacer tonterías.","I lived it" positioning
Positioning,Hook,"Este juego no va de comprar pisos. Va de comprar tiempo y libertad.","I lived it" positioning
Positioning,Hook,"He ayudado a médicos, ingenieros y autónomos a hacer su primera inversión con cabeza.","I lived it" positioning
Positioning,Hook,"Invertir en inmuebles es sencillo. Hacerlo mal también.","I lived it" positioning
Educational,Hook,"¿Sabías que puedes tener pisos que se pagan solos… sin tener que gestionarlos tú?",Educational value hook
Educational,Hook,"La financiación es más importante que el piso que compras.",Educational value hook
Educational,Hook,"Si tu primera inversión inmobiliaria es mala, no harás una segunda. Así lo evitas.",Educational value hook
Educational,Hook,"Los ricos no compran casas para vivir. Compran pisos que pagan su estilo de vida.",Educational value hook
Educational,Hook,"¿Sabes cuánto puedes ganar con solo 3 propiedades bien elegidas?",Educational value hook
Number-Driven,Hook,"€40,000 al mes en rentas pasivas... y esto es solo el comienzo.",Number-driven hook
Number-Driven,Hook,"De 0 a 10 propiedades en 4 años. Sin dinero inicial propio.",Number-driven hook
Number-Driven,Hook,"3 errores que te cuestan €100,000 en tu primera inversión inmobiliaria.",Number-driven hook
Number-Driven,Hook,"€500 de inversión inicial pueden generar €2,000 mensuales. Te muestro cómo.",Number-driven hook
Number-Driven,Hook,"7 propiedades que compré sin dinero propio. Aquí está la estrategia.",Number-driven hook
Transformation,Hook,"Dejé mi trabajo hace 3 años. Hoy gano el triple trabajando 2 horas al día.",Transformation hook
Transformation,Hook,"De empleado frustrado a inversor inmobiliario exitoso en 18 meses.",Transformation hook
Transformation,Hook,"Cómo pasé de alquilar un piso a ser propietario de 30 inmuebles.",Transformation hook
Transformation,Hook,"Mi primer inmueble: un estudio de 40m². Mi portfolio actual: 30 propiedades.",Transformation hook
Transformation,Hook,"De vivir al día a vivir de rentas. El cambio que transformó mi vida.",Transformation hook
Curiosity & Intrigue,Hook,"El secreto que los bancos no quieren que sepas sobre financiación inmobiliaria.",Curiosity & intrigue hook
Curiosity & Intrigue,Hook,"Por qué los ricos compran inmuebles y los pobres ahorran en el banco.",Curiosity & intrigue hook
Curiosity & Intrigue,Hook,"Lo que aprendí perdiendo €50,000 en mi primera inversión inmobiliaria.",Curiosity & intrigue hook
Curiosity & Intrigue,Hook,"El método que me permitió jubilarme a los 35 años.",Curiosity & intrigue hook
Curiosity & Intrigue,Hook,"¿Por qué trabajo 2 horas al día y gano más que antes?",Curiosity & intrigue hook
Problem and Solution,Hook,"¿Cansado de trabajar para otros y enriquecer a tu jefe?",Problem and solution hook
Problem and Solution,Hook,"Tu pensión no será suficiente para mantener tu estilo de vida. Esto sí.",Problem and solution hook
Problem and Solution,Hook,"Mientras tú ahorras en el banco, la inflación devora tu dinero.",Problem and solution hook
Problem and Solution,Hook,"¿Sigues esperando el momento perfecto para invertir en inmuebles?",Problem and solution hook
Problem and Solution,Hook,"El error que comete el 90% de los inversores novatos inmobiliarios.",Problem and solution hook
Credibility & Authority,Hook,"Mis estudiantes han comprado más de 200 propiedades este año.",Credibility & authority hook
Credibility & Authority,Hook,"De analista de inversiones en banca a mentor inmobiliario independiente.",Credibility & authority hook
Credibility & Authority,Hook,"Lo que 10 años en el sector inmobiliario me enseñaron.",Credibility & authority hook
Credibility & Authority,Hook,"Por qué grandes inversores con millones me consultan sus estrategias.",Credibility & authority hook
Credibility & Authority,Hook,"El método que ya usan más de 5,000 estudiantes exitosos.",Credibility & authority hook
Urgency and Scarcity,Hook,"Los precios inmobiliarios suben, pero las oportunidades también.",Urgency and scarcity hook
Urgency and Scarcity,Hook,"El mercado inmobiliario está cambiando rápidamente. ¿Estás preparado?",Urgency and scarcity hook
Urgency and Scarcity,Hook,"Última semana para acceder al curso a este precio especial.",Urgency and scarcity hook
Urgency and Scarcity,Hook,"Solo 100 plazas disponibles para el curso este mes.",Urgency and scarcity hook
Urgency and Scarcity,Hook,"El momento para empezar a invertir en inmuebles es AHORA o nunca.",Urgency and scarcity hook
Lifestyle & Aspirational,Hook,"Imagínate cobrando €3,000 mientras duermes tranquilamente.",Lifestyle & aspirational hook
Lifestyle & Aspirational,Hook,"Mis vacaciones en Maldivas las pagaron mis inquilinos.",Lifestyle & aspirational hook
Lifestyle & Aspirational,Hook,"Libertad financiera no es un sueño. Es un plan ejecutado correctamente.",Lifestyle & aspirational hook
Lifestyle & Aspirational,Hook,"Cómo crear un patrimonio inmobiliario que beneficie a tus hijos.",Lifestyle & aspirational hook
Lifestyle & Aspirational,Hook,"De estar atrapado en una oficina a tener libertad total de horarios.",Lifestyle & aspirational hook
Educational and Value,Hook,"3 tipos de propiedades que siempre dan beneficio, sin importar el mercado.",Educational and value hook
Educational and Value,Hook,"Cómo analizar cualquier inversión inmobiliaria en solo 5 minutos.",Educational and value hook
Educational and Value,Hook,"El truco para comprar propiedades por debajo del precio de mercado.",Educational and value hook
Educational and Value,Hook,"Por qué el 80% de los inversores inmobiliarios fracasan en sus primeros 2 años.",Educational and value hook
Educational and Value,Hook,"La fórmula exacta para calcular rentabilidad real de cualquier propiedad.",Educational and value hook
Video Ideas,Sketch,"Enseñando el piso que compro, caminando por ella planificando la reforma. Con un cuaderno o tablet.",Video sketch idea
Video Ideas,Sketch,"Un gran plano enseñando una casa haciendo un zoom out alejandose de el.",Video sketch idea
Video Ideas,Sketch,"Plano en la mesa + Excel con números que no cuadran",Video sketch idea
Video Ideas,Sketch,"El negociando un piso con un agente de inmobiliaria y/o con inquilinos.",Video sketch idea
Body Content,Example,"La mayoría compra pisos como en los 90s: hipotecan, reforman, alquilan… y apenas rascan 400€/mes.",Example connector + irrefutable proof
Body Content,Example,"Yo, con una sola propiedad, genero 7.800€ netos al mes.",Example connector + irrefutable proof
Body Content,Example,"Sin vender, sin hipotecarme con 5 bancos, y sin dedicarle mi vida.",Example connector + irrefutable proof
Body Content,Example,"La compré por 350.000€, invertí en reforma, una inteligente y me salió con impuestos, reforma y comisiones, mobiliario por unos 490.000€.",Example connector + irrefutable proof
Body Content,Example,"Pero lo mejor no es eso… Lo mejor es que el modelo de alquiler que uso lo revienta mes a mes.",Example connector + irrefutable proof
Body Content,Value,"Esto no es más de lo mismo.",Value explanation without explaining everything
Body Content,Value,"Un sistema con una propiedad optimizada puede supera con creces al alquiler tradicional en ingresos, control y tranquilidad.",Value explanation without explaining everything
Body Content,Value,"Y te muestro cómo replicarlo.",Value explanation without explaining everything
CTA,CTA,"Haz clic ya y accede al vídeo, un poco mas largo que este, donde te enseño exactamente cómo hacerlo. Nos vemos dentro",CTA
CTA,CTA,"¿O quieres otra compra mal pensada en vez de un modelo que realmente te genera dinero? Tú decides.",CTA
New Hooks,Hook,"Tu problema no es el mercado. Es la forma en la que estás invirtiendo.",New hook variation
New Hooks,Hook,"Invertiste bien… según tu cuñado. Por eso no ves ni 1.000€/mes.",New hook variation
New Hooks,Hook,"Sabes que, yo también me sentía atrapado… hasta que aprendí a hacer que una propiedad trabaje por mí.",New hook variation
New Hooks,Hook,"No necesitas ser rico para invertir bien. Solo necesitas dejar de seguir consejos malos.",New hook variation
New Hooks,Hook,"Necesitas 5 propiedades para llegar a 7.800€/mes. Cuando yo lo hago con una sola.",New hook variation
New Hooks,Hook,"Yo también pensaba que necesitaba 5 pisos para vivir bien. Hasta que comencé a aplicar esto en mi propiedad.",New hook variation
New Hooks,Hook,"Si estas por comprar tu primer piso, necesitas ver esto. Podrías estar tirando el dinero.",New hook variation
New Hooks,Hook,"Tu primer piso puede ayudarte a crecer y pagarte la vida entera…Solo si sigues estos consejos",New hook variation
Original Hooks,Hook,"El error número uno que comete la mayoría al invertir en su primer piso… es pensar que con uno no pueden vivir de ello.",Original hook
Original Hooks,Hook,"Últimamente, mi parte favorita de invertir es esto: hacer que una sola propiedad pague más que cinco alquiladas mal.",Original hook
Original Hooks,Hook,"Ah, y hay algo más que casi se me olvida contarte: tu cuñado no es tu asesor financiero.",Original hook
Original Hooks,Hook,"El mayor error que cometí al empezar fue seguir consejos de gente que nunca ha invertido.",Original hook
Original Hooks,Hook,"Escucha: si te preocupa perder dinero con tu primer piso… acuérdate de esto: el problema no es el mercado. Es cómo lo haces.",Original hook
Original Hooks,Hook,"Seguro que todos han comprado su primer piso con ilusión… pero ¿alguna vez han tenido uno que literalmente te paga la vida entera?",Original hook
Original Hooks,Hook,"Yo también pensaba que hacía falta ser rico para invertir… hasta que entendí que una propiedad bien ejecutada vence a cualquier alquiler tradicional.",Original hook
Original Hooks,Hook,"Invertiste bien… según tu entorno. Pero si no te da ni 1.000 €/mes, algo no está funcionando.",Original hook
Original Hooks,Hook,"Tu primer piso puede ser una carga… o el principio de tu libertad. Todo depende de cómo lo plantees.",Original hook
Original Hooks,Hook,"¿Te preocupa hipotecarte mal? No es el piso lo que arruina, es la estrategia detrás.",Original hook
Full Script,Hook,"¿Tienes ahorros en el banco, pero no sabes qué hacer con ellos?",Ready to record script hook
Full Script,Hook,"¿Sientes que con dos buenos sueldos ya no te da para vivir como antes?",Ready to record script hook
Full Script,Hook,"No estás solo.",Ready to record script hook
Full Script,Block,"He hablado con cientos de personas como tú. Buen trabajo, familia, estabilidad… pero no libertad.",Block 1
Full Script,Block,"Les da miedo invertir. No tienen tiempo.",Block 1
Full Script,Block,"Y mientras tanto… su dinero pierde valor cada día.",Block 1
Full Script,Block,"Mientras tú dudas… Tu cuñado ya invirtió.",Block 2
Full Script,Block,"Tu compañero también. Y les está funcionando.",Block 2
Full Script,Text,"¿Y tú? ¿Cuánto vas a esperar?",Text on screen
Full Script,Block,"No necesitas dejar tu trabajo. No necesitas ser experto. No necesitas tener todo claro.",Block 3
Full Script,Block,"Solo necesitas una hoja de ruta clara, alguien que te acompañe… …y la decisión de dejar de postergar.",Block 3
Full Script,Block,"Te lo explico paso a paso en una clase gratuita.",Closing
Full Script,Block,"El mismo sistema que usan mis alumnos para lograr su primera propiedad rentable en 10 semanas.",Closing
Full Script,Block,"Haz clic y entra. Es gratis. Solo necesitas querer empezar.",Closing
Full Script,Hook,"Hay gente comprando pisos de 600.000 €… …para alquilarlos por 1.500 €.",Not investing well ad
Full Script,Hook,"Y se piensan que están invirtiendo bien.",Not investing well ad
Full Script,Text,"¿De verdad te metes en esto… para ganar 600€?",Text on screen
Full Script,Block,"Luego me vienen con: 'Se paga solo'. O 'me queda un flujo neto de 600 euros'.",Brutal reality
Full Script,Block,"¿Eso te cambia la vida? ¿De verdad?",Brutal reality
Full Script,Block,"Esto no va de poner tu dinero a trabajar. Esto va de saber lo que haces.",Brutal reality
Full Script,Block,"Muchos creen que invierten porque les salió bien una vez…",Revelation
Full Script,Block,"Pero no tienen ni idea de rentabilidad, impuestos, riesgo real.",Revelation
Full Script,Block,"Y el día que la jugada les sale mal… lo pierden todo.",Revelation
Full Script,Block,"Yo no enseño a comprar pisos. Enseño a invertir con cabeza.",Turning point
Full Script,Block,"A generar ingresos reales, escalables… y sin jugártela.",Turning point
Full Script,Block,"Te explico cómo hacerlo paso a paso, con números reales, en una clase gratuita.",Closing + CTA
Full Script,Block,"Sin cuentos. Sin humo. Haz clic y mírala ahora.",Closing + CTA
Full Script,Text,"Clase gratuita | Método FAST",Text on screen
Full Script,Text,"Tu 1ª propiedad rentable en 10 semanas",Text on screen
Additional Hooks,Hook,"Esta semana cerramos una promoción que no va a volver en meses...",Additional hook
Additional Hooks,Script,"¿Sabías que en los últimos 30 días más de 40 personas han pedido info y solo 10 han aprovechado esta oportunidad?",Additional hook script
Additional Hooks,Script,"Porque es simple: hay una forma de invertir sin cometer errores y sin experiencia previa.",Additional hook script
Additional Hooks,Script,"La mayoría se queda dudando… y pierden el momento.",Additional hook script
Additional Hooks,Script,"Esto no es para los que lo piensan 3 meses. Es para los que están listos ya.",Additional hook script
Additional Hooks,Hook,"El mejor momento para invertir fue hace 5 años… El segundo mejor es hoy.",Additional hook
Additional Hooks,Script,"Lo sé. Suena a frase de gurú barato. Pero si no hubieras dejado pasar esa oportunidad hace años, ahora no estarías dudando otra vez.",Additional hook script
Additional Hooks,Script,"¿Cuántas veces te vas a quedar mirando cómo otros sí lo hacen?",Additional hook script
Additional Hooks,Script,"La diferencia entre actuar o no puede valer miles de euros. No lo dejes pasar otra vez.",Additional hook script
Additional Hooks,Hook,"¿Y si te dijera que puedes invertir sin experiencia, sin cometer errores… y desde cero?",Additional hook
Additional Hooks,Script,"No necesitas saberlo todo para dar el primer paso.",Additional hook script
Additional Hooks,Script,"De hecho, el 90% de las personas que empiezan no habían comprado nunca.",Additional hook script
Additional Hooks,Script,"Pero sí sabían que su dinero en el banco se devalúa.",Additional hook script
Additional Hooks,Script,"Hoy puedes entender qué hace la diferencia entre acertar y perder dinero. Y actuar antes de que sea tarde.",Additional hook script
Additional Hooks,Hook,"Este tipo de oportunidad no espera a nadie.",Additional hook
Additional Hooks,Script,"Literalmente. Las propiedades buenas no esperan.",Additional hook script
Additional Hooks,Script,"Los que dudan… se quedan con lo que nadie quiere.",Additional hook script
Additional Hooks,Script,"Aprender a reconocer una buena inversión es lo que separa al que gana todos los meses del que sigue atrapado.",Additional hook script
Additional Hooks,Script,"Si estás viendo esto, es por algo. No lo ignores.",Additional hook script
Additional Hooks,Hook,"Deja de ver vídeos sobre inversión y empieza a entender cómo funciona DE VERDAD.",Additional hook
Additional Hooks,Script,"Sé que llevas tiempo viendo contenido. Guardando propiedades en Idealista. Jugando con Excel.",Additional hook script
Additional Hooks,Script,"Pero no has invertido aún. ¿Por qué? Porque te falta claridad.",Additional hook script
Additional Hooks,Script,"La diferencia no está en ver más vídeos. Está en entender cómo elegir el piso correcto, calcular rentabilidad y evitar errores de novato.",Additional hook script
Additional Hooks,Hook,"Solo los 5 primeros entienden por qué esta estrategia puede cambiarles la vida.",Additional hook
Additional Hooks,Script,"Uno de los mayores bloqueos es no saber cómo es una inversión rentable en la práctica.",Additional hook script
Additional Hooks,Script,"No hablo de teoría. Hablo de decisiones concretas que marcan la diferencia entre perder dinero… o ganar todos los meses.",Additional hook script
Additional Hooks,Script,"No todos lo entienden. Por eso solo unos pocos lo aplican.",Additional hook script
Additional Hooks,Hook,"Una inversión buena te puede cambiar la vida. Una mala… también.",Additional hook
Additional Hooks,Script,"La diferencia entre ganar 500€/mes o perder 30.000 está en saber qué estás comprando.",Additional hook script
Additional Hooks,Script,"Si estás solo, puedes fallar. Si sabes lo que haces, puedes multiplicar tu dinero.",Additional hook script
Additional Hooks,Script,"No se trata de suerte. Se trata de saber lo que estás haciendo. Eso es lo que marca la diferencia.",Additional hook script
Additional Hooks,Hook,"Hay una oportunidad, pero solo para los que llegan hasta el final.",Additional hook
Additional Hooks,Script,"Porque los que llegan hasta el final… también llegan hasta el final de un proceso de inversión.",Additional hook script
Additional Hooks,Script,"Y eso me interesa. Si estás aquí, es porque te importa tu dinero.",Additional hook script
Additional Hooks,Script,"Y porque ya sabes que no hacer nada también tiene un coste.",Additional hook script
Additional Hooks,Hook,"Esta opción desaparece pronto. Y no lo digo por vender… lo digo porque es verdad.",Additional hook
Additional Hooks,Script,"Muchas veces dejas pasar algo pensando que ya volverá. Pero no siempre vuelve.",Additional hook script
Additional Hooks,Script,"Y si vuelve… no es igual. Las oportunidades buenas no repiten.",Additional hook script
Additional Hooks,Script,"Cuando el mercado cambia, cambia para todos. Y los que no se movieron… se quedan fuera.",Additional hook script
Additional Hooks,Hook,"Estás a una decisión de tener una propiedad rentable este año.",Additional hook
Additional Hooks,Script,"Y no hablo de sueños. Hablo de pisos reales, personas reales y resultados reales.",Additional hook script
Additional Hooks,Script,"Conozco gente que en 10 semanas ha comprado, reformado y alquilado con más de un 8% de rentabilidad neta.",Additional hook script
Additional Hooks,Script,"¿Por qué tú no? El momento no es perfecto. Pero tú puedes estar más listo de lo que crees.",Additional hook script
Strategy,Note,"Tracking with UTM. Was not correctly set up. We need more data. Currently on 30 per day.",Meeting note
Strategy,Note,"At the beginning don't generalize with audience",Meeting note
Strategy,Note,"UTM campaign was setup",Meeting note
Strategy,Note,"Same copy: They don't put much focus on copy, if its approved, just leave it. Not as much focus.",Meeting note
Strategy,Note,"The first three seconds: he likes the 350.000",Meeting note
Strategy,Note,"Its a matter of spending more money",Meeting note
Strategy,Note,"See if they are qualified. Sales call: tweak.",Meeting note
Strategy,Note,"They do not really know their problem, or the solution if they do know their problem.",Meeting note
Strategy,Note,"Change just the hook. Make this hook",Meeting note
Campaign Setup,Note,"CTR: Min 1%",Campaign metrics
Campaign Setup,Note,"Max put a 20% budget every 24 hours",Campaign metrics
Campaign Setup,Note,"Lower budget if frequency is too high",Campaign metrics
Campaign Setup,Note,"See where Meta is putting more money",Campaign metrics
Campaign Setup,Note,"Add is just get click, but the rest is the funnel",Campaign metrics
New Template Hooks,Hook,"Descubre el secreto definitivo para la inversión inmobiliaria exitosa.",Template-based hook
New Template Hooks,Hook,"¿Estás listo para lograr la libertad financiera? Entonces haz esto.",Template-based hook
New Template Hooks,Hook,"La verdad sorprendente sobre el mercado inmobiliario español.",Template-based hook
New Template Hooks,Hook,"Cómo comprar tu primera propiedad sin dinero propio.",Template-based hook
New Template Hooks,Hook,"Los 5 consejos principales para inversores inmobiliarios principiantes.",Template-based hook
New Template Hooks,Hook,"La guía definitiva para la inversión inmobiliaria en España.",Template-based hook
New Template Hooks,Hook,"El secreto para generar €5,000 mensuales con inmuebles.",Template-based hook
New Template Hooks,Hook,"Lleva tu inversión inmobiliaria al siguiente nivel con esta estrategia.",Template-based hook
New Template Hooks,Hook,"Lo que nadie te dice sobre comprar propiedades en 2024.",Template-based hook
New Template Hooks,Hook,"Transforma tu situación financiera en 3 pasos sencillos.",Template-based hook
New Template Hooks,Hook,"Domina el arte de la negociación inmobiliaria.",Template-based hook
